,codigo_municipio,longitud,latitud
0,acebeda-la,41.0869583,-3.624399
1,ajalvir,40.5342302,-3.4807818
2,alameda-del-valle,40.9177178,-3.8438216
3,alamo-el,40.2307296,-3.9905893
4,alcala-de-henares,40.4818396,-3.3644973
5,alcobendas,40.5400082,-3.6358494
6,alcorcon,40.3492998,-3.8284295
7,aldea-del-fresno,40.3215212,-4.19936
8,algete,40.5961652,-3.4974246
9,alpedrete,40.6599005,-4.0251223
10,ambite,40.3289723,-3.1812115
11,anchuelo,40.4653862,-3.2689196
12,aranjuez,40.03221,-3.6039604
13,arganda-del-rey,40.3007708,-3.4380688
14,arroyomolinos,39.1855991,-6.1630632
15,atazar-el,40.9343489,-3.4710919
16,batres,40.2091393,-3.9215947
17,becerril-de-la-sierra,40.7163374,-3.9890681
18,belmonte-de-tajo,40.1336305,-3.3398654
19,berrueco-el,40.8889705,-3.5614344
20,berzosa-del-lozoya,40.9757802,-3.5236736
21,boadilla-del-monte,40.4053485,-3.8764663
22,boalo-el,40.7173359,-3.9202198
23,braojos,41.0400124,-3.6425888
24,brea-de-tajo,40.2302134,-3.1092543
25,brunete,40.4050499,-3.9979912
26,buitrago-del-lozoya,40.9953477,-3.6350501
27,bustarviejo,40.8587766,-3.7097632
28,cabanillas-de-la-sierra,40.8216089,-3.6259742
29,cadalso-de-los-vidrios,40.3014283,-4.4408876
30,camarma-de-esteruelas,40.5490368,-3.3786211
31,campo-real,40.3381881,-3.3813911
32,canencia,40.9095894,-3.7375609
33,carabana,40.256626,-3.2347206
34,casarrubuelos,40.1707803,-3.8308526
35,cenicientos,40.2631894,-4.4669801
36,cercedilla,40.7412931,-4.0558002
37,cervera-de-buitrago,40.9211319,-3.5293404
38,chapineria,40.379164,-4.2097254
39,chinchon,40.1408293,-3.4231474
40,ciempozuelos,40.1580087,-3.6205514
41,cobena,40.5676083,-3.5048565
42,collado-mediano,40.6943707,-4.0247212
43,collado-villalba,40.6431496,-3.9930128
44,colmenar-del-arroyo,40.4179997,-4.1972768
45,colmenar-de-oreja,40.1074198,-3.3871634
46,colmenarejo,40.5607257,-4.0165248
47,colmenar-viejo,40.6587726,-3.7659722
48,corpa,40.4235374,-3.2652482
49,coslada,40.423802,-3.5552882
50,cubas-de-la-sagra,40.1908352,-3.8378366
51,daganzo-de-arriba,40.5451953,-3.45785
52,escorial-el,40.5890661,-4.147394873409854
53,estremera,40.1847306,-3.1062403
54,fresnedillas-de-la-oliva,40.486444,-4.1723486
55,fresno-de-torote,40.5922684,-3.4119681
56,fuenlabrada,40.282476,-3.7923422
57,fuente-el-saz-de-jarama,40.6312151,-3.5125918
58,fuentiduena-de-tajo,40.1185446,-3.160254
59,galapagar,40.5774992,-4.0037748
60,garganta-de-los-montes,40.9216084,-3.6866546
61,gargantilla-del-lozoya-y-pinilla-de-buitrago,40.96551504999999,-3.7077907634147276
62,gascones,41.0185654,-3.641499
63,getafe,40.3070639,-3.7331808
64,grinon,40.2136607,-3.8581479
65,guadalix-de-la-sierra,40.7822384,-3.7007794
66,guadarrama,40.6734454,-4.0893911
67,hiruela-la,41.0779223,-3.4552928
68,horcajo-de-la-sierra-aoslos,41.078683,-3.583901523172418
69,horcajuelo-de-la-sierra,41.0601151,-3.5457391
70,hoyo-de-manzanares,40.6227334,-3.9072054
71,humanes-de-madrid,40.2508847,-3.8270997
72,loeches,40.3837901,-3.4092281
73,lozoya,40.9513281,-3.7917078
74,lozoyuela-navas-sieteiglesias,40.9263383,-3.6176377
75,madarcos,41.0477311,-3.5821549
76,madrid,40.4167047,-3.7035825
77,majadahonda,40.473055,-3.8724138
78,manzanares-el-real,40.7267632,-3.864981
79,meco,40.553746,-3.3281561
80,mejorada-del-campo,40.3971785,-3.4896068
81,miraflores-de-la-sierra,40.8137532,-3.7667236
82,molar-el,40.7347865,-3.584376
83,montejo-de-la-sierra,41.0593529,-3.530299
84,moraleja-de-enmedio,40.2615532,-3.8612117
85,moralzarzal,40.6791436,-3.9720985
86,morata-de-tajuna,40.2294297,-3.4366925
87,mostoles,40.3238525,-3.8649214
88,navacerrada,40.7287926,-4.0151676
89,navalafuente,40.8232617,-3.6747292
90,navalagamella,40.4690591,-4.1227079
91,navalcarnero,40.2877169,-4.014299
92,navarredonda-y-san-mames,41.00736645,-3.7315049706950285
93,navas-del-rey,40.3863666,-4.2508402
94,nuevo-baztan,40.3659255,-3.2443102
95,olmeda-de-las-fuentes,40.3695225,-3.2213199
96,orusco-de-tajuna,40.2853409,-3.2096521
97,paracuellos-de-jarama,40.5048527,-3.5317621
98,parla,40.2373952,-3.7718902
99,patones,40.8548194,-3.483954
100,pedrezuela,40.7451088,-3.6030185
101,pelayos-de-la-presa,40.3605272,-4.3334254
102,perales-de-tajuna,40.2325718,-3.3517265
103,pezuela-de-las-torres,40.4186483,-3.1778029
104,pinilla-del-valle,40.9261949,-3.8184676
105,pinto,40.240985,-3.7005072
106,pinuecar-gandullas,41.03554635,-3.599475586218161
107,pozuelo-de-alarcon,40.4346528,-3.814834
108,pozuelo-del-rey,40.3664055,-3.3200082
109,pradena-del-rincon,41.0443369,-3.5402284
110,puebla-de-la-sierra,41.0121247,-3.4444367
111,puentes-viejas-manjiron,40.9654041,-3.5828764
112,quijorna,40.4290833,-4.0565378
113,rascafria,40.9038871,-3.8802853
114,reduena,40.8158054,-3.6039309
115,ribatejada,40.6664949,-3.3919178
116,rivas-vaciamadrid,40.3536054,-3.5310879
117,robledillo-de-la-jara,40.9529148,-3.5250504
118,robledo-de-chavela,40.5009201,-4.2380999
119,robregordo,41.1064517,-3.5937466
120,rozas-de-madrid-las,40.4933095,-3.8758396
121,rozas-de-puerto-real,40.3098351,-4.4912111
122,san-agustin-del-guadalix,40.679051,-3.6166004
123,san-fernando-de-henares,40.4248548,-3.5350369
124,san-lorenzo-de-el-escorial,40.5926673,-4.1471642
125,san-martin-de-la-vega,40.2110462,-3.5771806
126,san-martin-de-valdeiglesias,40.3625,-4.3986503
127,san-sebastian-de-los-reyes,40.5473698,-3.6260586
128,santa-maria-de-la-alameda,40.5958248,-4.2579208
129,santorcaz,40.4715789,-3.2335594
130,santos-de-la-humosa-los,40.5012957,-3.2566803
131,serna-del-monte-la,41.0305793,-3.6252636
132,serranillos-del-valle,40.2044509,-3.8851988
133,sevilla-la-nueva,40.3475422,-4.0275268
134,somosierra,41.133207,-3.581478
135,soto-del-real,40.7534432,-3.7866573
136,talamanca-de-jarama,40.7454625,-3.5127366
137,tielmes,40.2465011,-3.3136206
138,titulcia,40.1379148,-3.5709978
139,torrejon-de-ardoz,40.4587767,-3.4793343
140,torrejon-de-la-calzada,40.2006804,-3.7993298
141,torrejon-de-velasco,40.1869283,-3.7769069
142,torrelaguna,40.8277273,-3.538293
143,torrelodones,40.5762809,-3.928603
144,torremocha-de-jarama,40.8358114,-3.4966866
145,torres-de-la-alameda,40.4021516,-3.360625
146,tres-cantos,40.6065826,-3.7065333
147,valdaracete,40.2107697,-3.1954758
148,valdeavero,40.6309749,-3.3329368
149,valdelaguna,40.1605777,-3.367827
150,valdemanco,40.8736636,-3.6636949
151,valdemaqueda,40.5110297,-4.2977731
152,valdemorillo,40.5016772,-4.0688878
153,valdemoro,40.1888604,-3.67143
154,valdeolmos-alalpardo,40.6385429,-3.4532436
155,valdepielagos,40.7610144,-3.4656251
156,valdetorres-de-jarama,40.6956481,-3.5146559
157,valdilecha,40.2926854,-3.3002096
158,valverde-de-alcala,40.4180359,-3.2996775
159,velilla-de-san-antonio,40.367166,-3.4874435
160,vellon-el,40.7677965,-3.5820099
161,venturada,40.7985257,-3.6207369
162,villaconejos,40.1040079,-3.4850284
163,villa-del-prado,40.2764752,-4.3048032
164,villalbilla,40.4323665,-3.2987815
165,villamanrique-de-tajo,40.0686973,-3.240078
166,villamanta,40.2990939,-4.1090399
167,villamantilla,40.3421033,-4.1300303
168,villanueva-de-la-canada,40.4472106,-4.002795
169,villanueva-del-pardillo,40.4949232,-3.9600065
170,villanueva-de-perales,40.3466066,-4.1012616
171,villar-del-olmo,40.3364465,-3.2355624
172,villarejo-de-salvanes,40.1683582,-3.2738764
173,villaviciosa-de-odon,40.3573787,-3.9002334
174,villavieja-del-lozoya,41.0063622,-3.6716291
175,zarzalejo,40.5483016,-4.1815899
